Name,Module,Release No,Dependencies,Description,Supported,From field: Dependencies,Created
Shesha.Enterprise-5.0.1,Shesha.Enterprise,5.0.1,Shesha.Core-0.43.14,Update to the latest 0.43.14 Shesha. New Highlight Date Range Layer in Calendar. Fixed Workflow for Service Tasks. Fixed Account invitation. New DiffViewer component,,BoxStack-26,2025-10-17 9:24am
Shesha.Enterprise-5.0.0,Shesha.Enterprise,5.0.0,Shesha.Core-0.43.13,Copy of 2.5.13 + recalculate workflow assignees,,BoxStack-24,2025-10-17 9:24am
Shesha.Enterprise-3.0.3,Shesha.Enterprise,3.0.3,Shesha.Core-0.43.13,Calendar fix,,BoxStack-23,2025-10-17 9:24am
Shesha.Enterprise-3.0.2,Shesha.Enterprise,3.0.2,Shesha.Core-0.43.13,Update to latest 0.43.13. Fixed step order for workflow and crash for workflow start using configurable action,,BoxStack-22,2025-10-17 9:24am
Shesha.Enterprise-3.0.1,Shesha.Enterprise,3.0.1,Shesha.Core-0.43.12,"Update to the latest 0.43.12 Shesha, fixed template import, progress indicator, calendar",,,2025-10-17 9:24am
Shesha.Enterprise-3.0.0,Shesha.Enterprise,3.0.0,Shesha.Core-0.43.11,Copy of 2.5 branch,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.13,Shesha.Enterprise,2.5.13,Shesha.Core-0.43.13,Fixed null handling in the UserTaskWorkflowPropertyAssignee,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.12,Shesha.Enterprise,2.5.12,Shesha.Core-0.43.13,Calendar fix,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.11,Shesha.Enterprise,2.5.11,Shesha.Core-0.43.13,Update to latest 0.43.13. Fixed step order for workflow and crash for workflow start using configurable action,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.10,Shesha.Enterprise,2.5.10,Shesha.Core-0.43.12,"Update to the latest 0.43.12 Shesha, fixed template import, progress indicator, calendar",,BoxStack-21,2025-10-17 9:24am
Shesha.Enterprise-2.5.9,Shesha.Enterprise,2.5.9,Shesha.Core-0.43.11,"Fix calendar, map and StartByName endpoint",,BoxStack-20,2025-10-17 9:24am
Shesha.Enterprise-2.5.8,Shesha.Enterprise,2.5.8,Shesha.Core-0.43.11,Fixed migration issue,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.7,Shesha.Enterprise,2.5.7,Shesha.Core-0.43.11,"Fixed calendar. New Progress indicator component, updated workflow",,,2025-10-17 9:24am
Shesha.Enterprise-2.5.5,Shesha.Enterprise,2.5.5,Shesha.Core-0.43.10,"Updated calendar component, updated to the latest Shesha 0.43.10",,BoxStack-19,2025-10-17 9:24am
Shesha.Enterprise-2.5.4,Shesha.Enterprise,2.5.4,Shesha.Core-0.43.7,Updated to the latest Shesha 0.43.7,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.3,Shesha.Enterprise,2.5.3,Shesha.Core-0.43.6,Added support for multi-instance serial steps. Fixed workflow engine handled outgoing flows immediately after the first subprocess instance finished for multi-instance subprocesses,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.2,Shesha.Enterprise,2.5.2,Shesha.Core-0.43.6,Implemented access to the scope process variables,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.1,Shesha.Enterprise,2.5.1,Shesha.Core-0.43.6,Fixed crash during reading of variables in multi-instance subprocesses,,,2025-10-17 9:24am
Shesha.Enterprise-2.5.0,Shesha.Enterprise,2.5.0,Shesha.Core-0.43.6,Updated to the Shesha 0.43.6,,BoxStack-17,2025-10-17 9:24am
Shesha.Enterprise-2.4.21,Shesha.Enterprise,2.4.21,Shesha.Core-0.41.13,Updated to the Shesha 0.41.13,,BoxStack-31,2025-11-26 4:51pm
Shesha.Enterprise-2.4.20,Shesha.Enterprise,2.4.20,Shesha.Core-0.41.12,Updated to the latest Shesha 0.41.12. Fixed organisation tree,,BoxStack-30,2025-11-18 9:26am
Shesha.Enterprise-2.4.19,Shesha.Enterprise,2.4.19,Shesha.Core-0.41.11,Recalculate workflow assignees,,BoxStack-25,2025-10-17 9:24am
Shesha.Enterprise-2.4.18,Shesha.Enterprise,2.4.18,Shesha.Core-0.41.11,Updated IFacialRecognitionSettings,,,2025-10-17 9:24am
Shesha.Enterprise-2.4.17,Shesha.Enterprise,2.4.17,Shesha.Core-0.41.11,Updated to the latest Shesha 0.41.11,,BoxStack-18,2025-10-17 9:24am
Shesha.Enterprise-2.4.16,Shesha.Enterprise,2.4.16,Shesha.Core-0.41.10,Updated to the latest Shesha 0.41.10,,BoxStack-16,2025-10-17 9:24am
Shesha.Enterprise-2.4.15,Shesha.Enterprise,2.4.15,Shesha.Core-0.41.9,Updated to the latest Shesha 0.41.9. Added NumberOfInvoices to PurchaseOrder and updated SMS notifications,,BoxStack-15,2025-10-17 9:24am
Shesha.Enterprise-2.4.14,Shesha.Enterprise,2.4.14,Shesha.Core-0.41.8,Updated to the latest Shesha 0.41.8,,BoxStack-14,2025-10-17 9:24am
Shesha.Enterprise-2.4.13,Shesha.Enterprise,2.4.13,Shesha.Core-0.41.7,Updated to the latest Shesha 0.41.7,,BoxStack-13,2025-10-17 9:24am
Shesha.Enterprise-2.4.12,Shesha.Enterprise,2.4.12,,,,,2025-10-17 9:24am
Shesha.Enterprise-2.4.11,Shesha.Enterprise,2.4.11,,,,BoxStack-12,2025-10-17 9:24am
Shesha.Enterprise-2.4.10,Shesha.Enterprise,2.4.10,,,,,2025-10-17 9:24am
